_id,province,district,sector,cell,village
66d9c38e0bc303fcbe4cfb41,Kigali city,Nyarugenge,Gitega,Akabahizi,Iterambere
66d9c38e0bc303fcbe4cfb43,Kigali city,Nyarugenge,Gitega,Akabahizi,Nyaburanga
66d9c38e0bc303fcbe4cfb4f,Kigali city,Nyarugenge,Gitega,Akabeza,Ituze
66d9c38e0bc303fcbe4cfb53,Kigali city,Nyarugenge,Gitega,Gacyamo,Intsinzi
66d9c38e0bc303fcbe4cfb5d,Kigali city,Nyarugenge,Gitega,Kigarama,Umurava
66d9c38e0bc303fcbe4cfb72,Kigali city,Nyarugenge,Kanyinya,Nyamweru,Bwimo
66d9c38e0bc303fcbe4cfb73,Kigali city,Nyarugenge,Kanyinya,Nyamweru,Gatare
66d9c38e0bc303fcbe4cfb74,Kigali city,Nyarugenge,Kanyinya,Nyamweru,Mubuga
66d9c38e0bc303fcbe4cfb7b,Kigali city,Nyarugenge,Kanyinya,Nzove,Kagasa
66d9c38e0bc303fcbe4cfb7c,Kigali city,Nyarugenge,Kanyinya,Nzove,Nyabihu
66d9c38e0bc303fcbe4cfb44,Kigali city,Nyarugenge,Gitega,Akabahizi,Nyenyeri
66d9c38e0bc303fcbe4cfb4a,Kigali city,Nyarugenge,Gitega,Akabahizi,Umuseke
66d9c38e0bc303fcbe4cfb5b,Kigali city,Nyarugenge,Gitega,Kigarama,Umucyo
66d9c38e0bc303fcbe4cfb76,Kigali city,Nyarugenge,Kanyinya,Nyamweru,Nyamweru
66d9c38e0bc303fcbe4cfb5f,Kigali city,Nyarugenge,Gitega,Kinyange,Ihuriro
66d9c38e0bc303fcbe4cfb47,Kigali city,Nyarugenge,Gitega,Akabahizi,Ubwiyunge
66d9c38e0bc303fcbe4cfb49,Kigali city,Nyarugenge,Gitega,Akabahizi,Umurabyo
66d9c38e0bc303fcbe4cfb7f,Kigali city,Nyarugenge,Kanyinya,Nzove,Ruyenzi
66d9c38e0bc303fcbe4cfb8a,Kigali city,Nyarugenge,Kigali,Kigali,Kibisogi
66d9c38e0bc303fcbe4cfb97,Kigali city,Nyarugenge,Kigali,Mwendo,Karambo
66d9c38e0bc303fcbe4cfba5,Kigali city,Nyarugenge,Kigali,Nyabugogo,Ruhondo
66d9c38e0bc303fcbe4cfba7,Kigali city,Nyarugenge,Kigali,Ruriba,Nyabitare
66d9c38e0bc303fcbe4cfbb1,Kigali city,Nyarugenge,Kigali,Rwesero,Musimba
66d9c38e0bc303fcbe4cfbb5,Kigali city,Nyarugenge,Kigali,Rwesero,Vuganyana
66d9c38e0bc303fcbe4cfbc4,Kigali city,Nyarugenge,Kimisagara,Katabaro,Akamahoro
66d9c38e0bc303fcbe4cfbe4,Kigali city,Nyarugenge,Kimisagara,Kimisagara,Sangwa
66d9c38e0bc303fcbe4cfbe8,Kigali city,Nyarugenge,Mageragere,Kankuba,Karukina
66d9c38e0bc303fcbe4cfbeb,Kigali city,Nyarugenge,Mageragere,Kankuba,Rugendabari
66d9c38e0bc303fcbe4cfbf0,Kigali city,Nyarugenge,Mageragere,Kavumu,Murondo
66d9c38e0bc303fcbe4cfbfa,Kigali city,Nyarugenge,Mageragere,Mataba,Rushubi
